2026-07-15 18:02:00 | job 5226906 | STARTING | age=18s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 18:02:45 | job 5226906 | STARTING | age=63s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 18:03:30 | job 5226906 | STARTING | age=108s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 20:43:22 | job 5226906 | OK | age=745s | last=[  mean_dice: 0.590  cancer_dice: 0.630 Epoch 007/100 | train_loss=0.2745 | val_loss=0.2821 | lr=9.96e-05 | frozen=False | validated=1 | 1332s   mean_dice: 0.581  cancer_dice: 0.615 ] fail=[]
2026-07-15 20:46:23 | job 5226906 | OK | age=925s | last=[  mean_dice: 0.590  cancer_dice: 0.630 Epoch 007/100 | train_loss=0.2745 | val_loss=0.2821 | lr=9.96e-05 | frozen=False | validated=1 | 1332s   mean_dice: 0.581  cancer_dice: 0.615 ] fail=[]
2026-07-15 20:49:23 | job 5226906 | OK | age=1105s | last=[  mean_dice: 0.590  cancer_dice: 0.630 Epoch 007/100 | train_loss=0.2745 | val_loss=0.2821 | lr=9.96e-05 | frozen=False | validated=1 | 1332s   mean_dice: 0.581  cancer_dice: 0.615 ] fail=[]
2026-07-15 20:52:23 | job 5226906 | OK | age=1285s | last=[  mean_dice: 0.590  cancer_dice: 0.630 Epoch 007/100 | train_loss=0.2745 | val_loss=0.2821 | lr=9.96e-05 | frozen=False | validated=1 | 1332s   mean_dice: 0.581  cancer_dice: 0.615 ] fail=[]
2026-07-15 20:55:23 | job 5226906 | OK | age=112s | last=[  mean_dice: 0.581  cancer_dice: 0.615 Epoch 008/100 | train_loss=0.2764 | val_loss=0.2760 | lr=9.93e-05 | frozen=False | validated=1 | 1328s   mean_dice: 0.593  cancer_dice: 0.647 ] fail=[]
2026-07-15 20:58:23 | job 5226906 | OK | age=292s | last=[  mean_dice: 0.581  cancer_dice: 0.615 Epoch 008/100 | train_loss=0.2764 | val_loss=0.2760 | lr=9.93e-05 | frozen=False | validated=1 | 1328s   mean_dice: 0.593  cancer_dice: 0.647 ] fail=[]
2026-07-15 21:01:23 | job 5226906 | OK | age=472s | last=[  mean_dice: 0.581  cancer_dice: 0.615 Epoch 008/100 | train_loss=0.2764 | val_loss=0.2760 | lr=9.93e-05 | frozen=False | validated=1 | 1328s   mean_dice: 0.593  cancer_dice: 0.647 ] fail=[]
2026-07-15 21:04:23 | job 5226906 | OK | age=653s | last=[  mean_dice: 0.581  cancer_dice: 0.615 Epoch 008/100 | train_loss=0.2764 | val_loss=0.2760 | lr=9.93e-05 | frozen=False | validated=1 | 1328s   mean_dice: 0.593  cancer_dice: 0.647 ] fail=[]
2026-07-15 21:07:24 | job 5226906 | OK | age=834s | last=[  mean_dice: 0.581  cancer_dice: 0.615 Epoch 008/100 | train_loss=0.2764 | val_loss=0.2760 | lr=9.93e-05 | frozen=False | validated=1 | 1328s   mean_dice: 0.593  cancer_dice: 0.647 ] fail=[]
2026-07-15 21:10:26 | job 5226906 | OK | age=1015s | last=[  mean_dice: 0.581  cancer_dice: 0.615 Epoch 008/100 | train_loss=0.2764 | val_loss=0.2760 | lr=9.93e-05 | frozen=False | validated=1 | 1328s   mean_dice: 0.593  cancer_dice: 0.647 ] fail=[]
2026-07-15 21:13:26 | job 5226906 | OK | age=1195s | last=[  mean_dice: 0.581  cancer_dice: 0.615 Epoch 008/100 | train_loss=0.2764 | val_loss=0.2760 | lr=9.93e-05 | frozen=False | validated=1 | 1328s   mean_dice: 0.593  cancer_dice: 0.647 ] fail=[]
2026-07-15 21:16:26 | job 5226906 | OK | age=1375s | last=[  mean_dice: 0.581  cancer_dice: 0.615 Epoch 008/100 | train_loss=0.2764 | val_loss=0.2760 | lr=9.93e-05 | frozen=False | validated=1 | 1328s   mean_dice: 0.593  cancer_dice: 0.647 ] fail=[]
2026-07-15 21:19:26 | job 5226906 | OK | age=164s | last=[  mean_dice: 0.593  cancer_dice: 0.647 Epoch 009/100 | train_loss=0.2750 | val_loss=0.2710 | lr=9.91e-05 | frozen=False | validated=1 | 1322s   mean_dice: 0.590  cancer_dice: 0.631 ] fail=[]
2026-07-15 21:22:27 | job 5226906 | OK | age=344s | last=[  mean_dice: 0.593  cancer_dice: 0.647 Epoch 009/100 | train_loss=0.2750 | val_loss=0.2710 | lr=9.91e-05 | frozen=False | validated=1 | 1322s   mean_dice: 0.590  cancer_dice: 0.631 ] fail=[]
2026-07-15 21:25:27 | job 5226906 | OK | age=524s | last=[  mean_dice: 0.593  cancer_dice: 0.647 Epoch 009/100 | train_loss=0.2750 | val_loss=0.2710 | lr=9.91e-05 | frozen=False | validated=1 | 1322s   mean_dice: 0.590  cancer_dice: 0.631 ] fail=[]
2026-07-15 21:28:27 | job 5226906 | OK | age=704s | last=[  mean_dice: 0.593  cancer_dice: 0.647 Epoch 009/100 | train_loss=0.2750 | val_loss=0.2710 | lr=9.91e-05 | frozen=False | validated=1 | 1322s   mean_dice: 0.590  cancer_dice: 0.631 ] fail=[]
2026-07-15 21:31:27 | job 5226906 | OK | age=885s | last=[  mean_dice: 0.593  cancer_dice: 0.647 Epoch 009/100 | train_loss=0.2750 | val_loss=0.2710 | lr=9.91e-05 | frozen=False | validated=1 | 1322s   mean_dice: 0.590  cancer_dice: 0.631 ] fail=[]
